fecha,tipo,precio,monto,asset,fiat,metodos_pago
2026-08-13T23:30:32.442350,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T23:00:32.874055,SELL,885.00000000,870.02000000,USDT,VES,"Banesco, Mercantil"
2026-08-13T23:00:32.534339,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T22:30:33.027673,SELL,885.00000000,189.86000000,USDT,VES,Bank Transfer
2026-08-13T22:30:32.486918,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T22:00:32.767918,SELL,885.00000000,205.93000000,USDT,VES,Pago Movil
2026-08-13T22:00:32.465956,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T21:30:32.724849,SELL,886.00000000,281.26000000,USDT,VES,Banesco
2026-08-13T21:30:32.390975,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T21:00:32.728052,SELL,884.00000000,299.25000000,USDT,VES,Banesco
2026-08-13T21:00:32.407622,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T20:29:06.282614,SELL,887.99900000,99.75000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-13T20:29:05.977422,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T20:02:30.381715,SELL,880.00000000,115.15000000,USDT,VES,"Pago Movil, Bank Transfer, Banco de Venezuela"
2026-08-13T20:02:30.077361,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T19:32:28.907703,SELL,883.70000000,154.24000000,USDT,VES,Pago Movil
2026-08-13T19:32:28.603176,BUY,905.51000000,1972.19000000,USDT,VES,"Provincial, BBVA"
2026-08-13T19:02:24.063638,SELL,882.00000000,1824.65000000,USDT,VES,Banesco
2026-08-13T19:02:23.742996,BUY,900.00000000,13748.59000000,USDT,VES,Provincial
2026-08-13T18:58:52.342984,SELL,889.88000000,99.75000000,USDT,VES,Banesco
2026-08-13T18:58:52.034424,BUY,903.00000000,1405.65000000,USDT,VES,Provincial
2026-08-13T18:28:34.093062,SELL,889.00000000,299.25000000,USDT,VES,Banesco
2026-08-13T18:28:33.800337,BUY,900.00000000,3750.43000000,USDT,VES,Bancamiga
2026-08-13T17:59:49.229145,SELL,889.00000000,4822.45000000,USDT,VES,Banesco
2026-08-13T17:59:48.899653,BUY,900.00000000,2424.82000000,USDT,VES,Bancamiga
2026-08-13T17:30:21.986575,SELL,889.00000000,38.87000000,USDT,VES,Pago Movil
